2019-10-21-02:07:00+0000 1.11569 1.11572 1.11569 1.11572 0.00013 18
2019-10-21-02:08:00+0000 1.11571 1.11573 1.11569 1.11572 0.00013 19
2019-10-21-02:09:00+0000 1.11573 1.11576 1.11569 1.11575 0.00013 23
2019-10-21-02:10:00+0000 1.11575 1.11575 1.11575 1.11575 0.00012 1
2019-10-21-02:11:00+0000 1.11577 1.11577 1.11574 1.11576 0.00011 18
2019-10-21-02:12:00+0000 1.11574 1.11575 1.11571 1.11571 0.00013 5
2019-10-21-02:13:00+0000 1.11571 1.11576 1.11571 1.11574 0.00013 10
2019-10-21-02:14:00+0000 1.11575 1.11576 1.11572 1.11575 0.00012 14
2019-10-21-02:15:00+0000 1.11573 1.11575 1.11570 1.11574 0.00012 19
2019-10-21-02:16:00+0000 1.11572 1.11574 1.11570 1.11571 0.00013 13
2019-10-21-02:17:00+0000 1.11570 1.11570 1.11566 1.11570 0.00013 25
2019-10-21-02:18:00+0000 1.11572 1.11573 1.11570 1.11571 0.00013 14
2019-10-21-02:19:00+0000 1.11573 1.11576 1.11572 1.11573 0.00012 9
2019-10-21-02:20:00+0000 1.11572 1.11575 1.11571 1.11575 0.00012 7
2019-10-21-02:21:00+0000 1.11573 1.11576 1.11571 1.11572 0.00014 12
2019-10-21-02:22:00+0000 1.11574 1.11575 1.11573 1.11575 0.00015 13
2019-10-21-02:23:00+0000 1.11579 1.11586 1.11578 1.11586 0.00013 34
2019-10-21-02:24:00+0000 1.11585 1.11586 1.11581 1.11581 0.00012 28
2019-10-21-02:25:00+0000 1.11582 1.11610 1.11581 1.11610 0.00013 51
2019-10-21-02:26:00+0000 1.11611 1.11612 1.11606 1.11607 0.00014 14
2019-10-21-02:27:00+0000 1.11605 1.11607 1.11600 1.11605 0.00014 19
2019-10-21-02:28:00+0000 1.11607 1.11612 1.11607 1.11611 0.00014 23
2019-10-21-02:29:00+0000 1.11611 1.11621 1.11611 1.11618 0.00012 47
2019-10-21-02:30:00+0000 1.11616 1.11616 1.11593 1.11595 0.00013 56
2019-10-21-02:31:00+0000 1.11596 1.11601 1.11593 1.11594 0.00013 30
2019-10-21-02:32:00+0000 1.11592 1.11592 1.11589 1.11589 0.00013 3
2019-10-21-02:33:00+0000 1.11589 1.11590 1.11579 1.11580 0.00013 28
2019-10-21-02:34:00+0000 1.11579 1.11581 1.11579 1.11580 0.00012 12
2019-10-21-02:35:00+0000 1.11580 1.11585 1.11579 1.11580 0.00012 17
